datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D4;D5;D6;D9;D12
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;01;Elberfeld-Mitte;8;8;6285;1212;0;7497;3048;1118;39;3009;1190;1074;265;157;82;145;96
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;02;Hombüchel;7;7;6312;1176;0;7488;3669;1032;30;3639;1260;1385;461;129;57;242;105
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;03;Höchsten;6;6;6194;830;0;7024;2895;727;33;2862;1141;976;333;106;45;176;85
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;04;Ostersbaum;7;7;6451;933;0;7384;2848;850;51;2797;1175;923;230;158;79;128;104
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;05;Grifflenberg;9;9;6749;2196;0;8945;4814;1982;52;4762;1530;2264;222;346;117;117;166
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;06;Friedrichsberg;7;7;6647;1190;0;7837;3219;1085;41;3178;1279;1151;198;196;109;143;102
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;11;Brill-Arrenberg;7;7;5467;1554;0;7021;3886;1411;41;3845;1187;1881;200;275;61;126;115
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;12;Nützenberg-Zoo;6;6;5723;1264;0;6987;3321;1171;33;3288;1214;1355;180;202;126;115;96
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;13;Sonnborn-Varresbeck;7;7;5929;1283;0;7212;3455;1195;34;3421;1175;1543;110;260;129;102;102
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;21;Uellendahl-Ost;9;9;5946;2040;0;7986;4770;1863;61;4709;1514;2343;123;346;155;79;149
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;22;Uellendahl-Mitte;9;9;6322;1582;0;7904;3940;1423;38;3902;1509;1577;166;295;112;123;120
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;23;Uellendahl-West;8;8;5262;2064;0;7326;4563;1929;31;4532;1234;2503;135;310;140;93;117
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;24;Katernberg;9;9;5240;2058;0;7298;4718;1930;49;4669;1331;2449;143;358;151;89;148
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;31;Vohwinkel-Ost;8;8;6599;1471;0;8070;3504;1321;46;3458;1302;1370;160;205;124;127;170
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;32;Vohwinkel-West;7;7;6301;1414;0;7715;3587;1290;45;3542;1333;1508;126;213;135;88;139
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;33;Vohwinkel-Nord;9;9;6186;1399;0;7585;4127;1290;37;4090;1567;1690;163;229;161;118;162
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;41;Cronenberg-Süd;10;10;7009;2000;0;9009;5072;1865;39;5033;1605;2283;163;491;167;129;195
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;42;Cronenberg-Nord;9;9;6726;1935;0;8661;4875;1799;73;4802;1508;2303;150;412;139;129;161
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;51;Barmen-Mitte;8;8;7555;1159;0;8714;2959;1041;49;2910;1186;983;182;208;101;120;130
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;52;Sedansberg-Rott;8;8;7796;1169;0;8965;3375;1035;48;3327;1483;1052;198;193;115;134;152
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;53;Loh-Unterbarmen;8;8;7331;1159;0;8490;3500;1042;43;3457;1342;1230;268;206;108;183;120
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;54;Clausen-Hatzfeld;10;10;7400;1752;0;9152;4162;1580;61;4101;1645;1556;186;287;145;135;147
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;55;Kothen-Lichtenplatz;9;9;6539;2067;0;8606;4910;1918;45;4865;1793;2037;172;466;151;125;121
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;61;Oberbarmen;6;6;6264;651;0;6915;1904;583;38;1866;833;521;125;114;90;84;99
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;62;Wichlinghausen-Süd;7;7;6293;627;0;6920;2076;550;43;2033;943;588;123;103;88;88;100
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;63;Wichlinghausen-Nord;8;8;7232;937;0;8169;2864;820;56;2808;1200;977;132;178;128;75;118
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;64;Nächstebreck;9;9;7002;1692;0;8694;4154;1541;48;4106;1606;1634;119;313;184;109;141
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;71;Heckinghausen-West;9;9;6620;1536;0;8156;3754;1414;34;3720;1363;1568;157;280;133;91;128
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;72;Heckinghausen-Ost;7;7;6662;978;0;7640;2757;899;33;2724;1224;894;130;169;93;97;117
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;81;Langerfeld-Nord;9;9;7967;997;0;8964;3108;886;54;3054;1345;984;126;241;119;136;103
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;82;Langerfeld-Süd-Beyenburg;12;12;8002;1958;0;9960;5261;1838;75;5186;1820;2299;171;409;193;137;157
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;91;Ronsdorf-Ost;10;10;6714;1684;0;8398;4267;1537;70;4197;1677;1357;169;558;147;132;157
13.09.2020;Wahl des/der Oberbürgermeisters/in;05124000;92;Ronsdorf-West;10;10;7093;1963;0;9056;5279;1794;71;5208;2010;1960;155;644;161;105;173
