11 127.457 7.582 5,95 114
12 348.619 23.820 6,83 152
13 361.515 31.414 8,69 151
14 408.348 36.885 9,03 154
15 380.197 30.791 8,10 164
16 331.902 22.082 6,65 168
17 363.890 18.083 4,97 178
18 326.788 12.608 3,86 175
19 403.875 10.755 2,66 182
20 432.666 7.233 1,67 183
21 353.467 5.218 1,48 179
22 405.269 4.310 1,06 178
23 340.986 3.208 0,94 176
24 327.196 2.816 0,86 173
25 388.187 5.316 1,37 176
26 467.413 3.689 0,79 180
27 507.663 3.104 0,61 152
28 510.551 2.992 0,59 179
29 538.701 3.497 0,65 177
30 574.883 4.539 0,79 183
31 586.620 5.738 0,98 170
32 736.171 7.335 1,00 169
33 891.988 8.661 0,97 188
34 1.094.506 9.233 0,84 199
35 1.121.214 8.324 0,74 192
36 1.099.560 8.175 0,74 192
37 1.162.133 10.025 0,86 193
38 1.149.171 13.275 1,16 202
39 1.168.390 14.301 1,22 189
40 1.095.858 17.964 1,64 185
